Name,Timestamp,type,OS,challenge name,Mountain,score,Points
Ryan Monty,2021-03-11 16:40:04,Time trial,Android,The Woodland Slalom,Waldtal,24.3,11999
SYNO,2020-11-19 20:29:00,Time trial,iOS,The Woodland Slalom,Waldtal,24.21,12899
Shadow,2020-11-24 15:12:09,Time trial,iOS,The Woodland Slalom,Waldtal,24.46,10399
Skier50,2021-03-31 6:12:44,Time trial,iOS,The Woodland Slalom,Waldtal,24.38,11200
Susannah,9/28/2021 19:41:44,Time trial,Android,The Woodland Slalom,Waldtal,24.4,11000
eFrostyy,2021-02-12 16:20:33,Time trial,Android,The Woodland Slalom,Waldtal,24.72,8585
hschindele,2020-12-18 22:38:29,Time trial,iOS,The Woodland Slalom,Waldtal,23.76,17399
massiv97,2021-02-10 14:55:50,Time trial,Android,The Woodland Slalom,Waldtal,24.22,12800
waxton,2020-11-30 17:56:50,Time trial,Android,The Woodland Slalom,Waldtal,24.54,9726
Avel,2021-03-27 5:51:56,Time trial,iOS,The Woodland Track,Waldtal,21.41,10899
BouncyJello,2020-02-17 14:05:29,Time trial,Android,The Woodland Track,Waldtal,21.15,13500
Chesty,2020-11-19 20:33:33,Time trial,iOS,The Woodland Track,Waldtal,21.85,7071
Fenrir,2021-01-10 18:57:36,Time trial,Android,The Woodland Track,Waldtal,21.92,6597
Gjeep302,2021-01-15 6:59:30,Time trial,Android,The Woodland Track,Waldtal,21.42,10799
Jamiemac,2021-04-01 14:08:13,Time trial,Android,The Woodland Track,Waldtal,21.22,12800
Mountain_Greg,2021-02-15 8:35:24,Time trial,Android,The Woodland Track,Waldtal,21.24,12600
Pinsek,2021-03-21 15:14:21,Time trial,Android,The Woodland Track,Waldtal,21.41,10899
Ryan Monty,2021-04-13 13:38:35,Time trial,Android,The Woodland Track,Waldtal,21.06,14400
SYNO,2021-01-05 9:35:41,Time trial,iOS,The Woodland Track,Waldtal,21.48,10199
Shadow,2020-11-24 15:12:47,Time trial,iOS,The Woodland Track,Waldtal,21.26,12399
Skier50,2021-03-31 6:12:02,Time trial,iOS,The Woodland Track,Waldtal,21.33,11700
eFrostyy,2021-02-12 16:21:13,Time trial,Android,The Woodland Track,Waldtal,21.83,7212
hschindele,2020-11-14 21:04:49,Time trial,iOS,The Woodland Track,Waldtal,20.89,16099
massiv97,2021-01-13 16:01:20,Time trial,Android,The Woodland Track,Waldtal,21.38,11200
Antaris,2021-01-01 12:47:34,Time trial,iOS,Gemsgully Whites,Waldtal,31.21,12899
Avel,2021-09-25 4:00:04,Time trial,iOS,Gemsgully Whites,Waldtal,31.21,12899
Chesty,2020-11-19 19:13:01,Time trial,iOS,Gemsgully Whites,Waldtal,31.73,7963
Fenrir,2021-01-10 18:42:16,Time trial,Android,Gemsgully Whites,Waldtal,31.55,9516
Gjeep302,2021-01-15 7:00:27,Time trial,Android,Gemsgully Whites,Waldtal,31.32,11799
Jamiemac,2021-03-19 14:12:57,Time trial,Android,Gemsgully Whites,Waldtal,31.11,13900
Mountain_Greg,2021-02-23 6:27:56,Time trial,Android,Gemsgully Whites,Waldtal,31.15,13500
Pinsek,2021-03-09 16:56:32,Time trial,Android,Gemsgully Whites,Waldtal,31.4,11000
Ryan Monty,2021-03-13 3:49:58,Time trial,Android,Gemsgully Whites,Waldtal,31.32,11799
