,Name,score
5,massiv97,30691.0
0,Fenrir,6.45
1,James :),7.15
2,Jamiemac,6.51
3,Mountain_Greg,6.23
4,Ryan Monty,6.66
5,SYNO,6.34
6,Skier50,6.61
7,hschindele,6.86
8,massiv97,6.17
0,Fenrir,43.3
1,Gjeep302,47.5
2,James :),45.8
3,Mountain_Greg,45.4
4,Skier50,48.0
0,Gjeep302,82.3
1,James :),60.6
2,Mountain_Greg,61.0
3,Skier50,71.6
0,Fenrir,142.0
1,Gjeep302,140.3
2,James :),131.7
3,Mountain_Greg,143.2
4,Skier50,146.9
0,Jamiemac,42763.0
1,Mountain_Greg,31345.0
2,SYNO,42748.0
3,Skier50,49350.0
4,massiv97,39947.0
0,James :),20258.0
1,Jamiemac,28249.0
2,Mountain_Greg,28052.0
3,SYNO,34542.0
4,Skier50,35349.0
5,massiv97,25673.0
0,Jamiemac,21069.0
1,Mountain_Greg,18931.0
2,SYNO,30020.0
3,Skier50,31113.0
4,massiv97,21674.0
0,James :),34797.0
1,Jamiemac,41902.0
2,SYNO,51504.0
3,Skier50,54288.0
4,massiv97,40821.0
0,James :),28881.0
1,Jamiemac,32871.0
2,SYNO,40605.0
3,Skier50,41617.0
4,massiv97,28201.0
0,Fenrir,6.91
1,James :),16.33
2,PelagusPlays,4.76
3,Ryan Monty,4.32
4,Skier50,7.85
5,┴҉ɥ̶́ɐ̶͞͠ʇ̕͡͝𝓸̡̧͜𝓾̶͘ǝ̶̕פ̨͘𝓷̸̛͘ʎ,4.48
0,Avel,7.36
1,Mountain_Greg,7.04
2,Skier50,8.21
3,massiv97,5.79
4,┴҉ɥ̶́ɐ̶͞͠ʇ̕͡͝𝓸̡̧͜𝓾̶͘ǝ̶̕פ̨͘𝓷̸̛͘ʎ,4.8
0,Avel,88.0
1,Skier50,92.2
2,massiv97,82.0
3,┴҉ɥ̶́ɐ̶͞͠ʇ̕͡͝𝓸̡̧͜𝓾̶͘ǝ̶̕פ̨͘𝓷̸̛͘ʎ,54.0
0,Avel,81.8
1,Foxster,84.8
2,PelagusPlays,83.2
3,Skier50,86.8
4,massiv97,70.0
5,┴҉ɥ̶́ɐ̶͞͠ʇ̕͡͝𝓸̡̧͜𝓾̶͘ǝ̶̕פ̨͘𝓷̸̛͘ʎ,41.1
0,Avel,167.2
1,Fenrir,136.6
2,Mountain_Greg,130.5
3,Ryan Monty,112.1
4,Skier50,140.0
5,massiv97,111.0
0,Avel,151.4
1,Mountain_Greg,135.0
2,Ryan Monty,114.8
3,Skier50,137.2
4,massiv97,110.8
5,┴҉ɥ̶́ɐ̶͞͠ʇ̕͡͝𝓸̡̧͜𝓾̶͘ǝ̶̕פ̨͘𝓷̸̛͘ʎ,85.3
0,Ryan Monty,8213.0
1,Skier50,33464.0
2,massiv97,7644.0
3,┴҉ɥ̶́ɐ̶͞͠ʇ̕͡͝𝓸̡̧͜𝓾̶͘ǝ̶̕פ̨͘𝓷̸̛͘ʎ,5082.0
0,Skier50,55844.0
1,massiv97,19099.0
2,┴҉ɥ̶́ɐ̶͞͠ʇ̕͡͝𝓸̡̧͜𝓾̶͘ǝ̶̕פ̨͘𝓷̸̛͘ʎ,9988.0
0,Avel,41286.0
1,Fenrir,23987.0
2,Ryan Monty,22787.0
3,Skier50,54564.0
0,Foxster,15453.0
1,Skier50,24805.0
2,massiv97,13456.0
3,┴҉ɥ̶́ɐ̶͞͠ʇ̕͡͝𝓸̡̧͜𝓾̶͘ǝ̶̕פ̨͘𝓷̸̛͘ʎ,6632.0
0,Ryan Monty,22354.0
1,Skier50,60702.0
2,massiv97,21644.0
3,┴҉ɥ̶́ɐ̶͞͠ʇ̕͡͝𝓸̡̧͜𝓾̶͘ǝ̶̕פ̨͘𝓷̸̛͘ʎ,15197.0
0,Ryan Monty,23423.0
1,Skier50,37293.0
2,massiv97,22150.0
0,Avel,31383.0
1,Ryan Monty,21211.0
2,Skier50,46180.0
3,massiv97,20143.0
0,Avel,283.8
1,Mountain_Greg,262.3
2,Skier50,284.0
3,massiv97,244.9
4,┴҉ɥ̶́ɐ̶͞͠ʇ̕͡͝𝓸̡̧͜𝓾̶͘ǝ̶̕פ̨͘𝓷̸̛͘ʎ,239.3
