,index,Timestamp,Verified?,Link,Name,OS,Mountain,Was WR,Unnamed: 64,challenge name,type,score,chaltype
35,21,2020-11-15 21:04:16,Yes,https://drive.google.com/open?id=1pdzZw9NHyZnAyItPlRNCuXBrZzZq2a3-,hschindele,iOS,Elnakka,True,Race,Super G,Time trial,36.51,Race
36,2694,2021-06-04 6:06:32,Yes,https://drive.google.com/open?id=1cf2tFYgPt59UmZdigLvNDYIy552BGleL,Skier50,iOS,Elnakka,True,Race,Ellnau Shoulder Track,Time trial,30.3,Race
37,2517,2021-05-02 16:51:25,Yes,https://drive.google.com/open?id=17co04rZHRuTol4G_o1-vjZYadPy4fBoR,hschindele,iOS,Elnakka,True,Trail,Forest Excursion,Time trial,20.62,Trail
38,2749,2021-06-14 10:59:13,Yes,https://drive.google.com/open?id=1ChIKzosgXgtmlDdYPk9Qv9G5XGEdOhCl,Mountain_Greg,Android,Elnakka,True,TTB,Elnakka West,Time trial,25.52,TTB
39,233,2020-12-21 8:46:06,Yes,https://drive.google.com/open?id=1H2M0HkeGbmrQJDKmVeKEuyCVmjq-JiEV,hschindele,iOS,Elnakka,True,Trail,Across The Clover Ridge,Time trial,39.96,Trail
40,231,2020-12-20 17:15:03,Yes,https://drive.google.com/open?id=1N273dWFkbGKctku8LV5-VIZ62RpQ-gxX,hschindele,iOS,Elnakka,True,Trail,Ellnau River Rush,Time trial,21.31,Trail
41,489,2021-01-07 15:48:11,Yes,https://drive.google.com/open?id=1F9vj62YWQCQjd4z2xSwU1smxSbtcwX9-,hschindele,iOS,Elnakka,True,Trail,The Boulder Valley Pass,Time trial,20.96,Trail
42,2806,2021-06-21 10:01:43,Yes,https://drive.google.com/open?id=1orPcqY07ClliirAtr6SNb3kAXxgp1cm1,hschindele,iOS,Elnakka,True,Trail,Clover Road Trail,Time trial,16.34,Trail
43,232,2020-12-20 19:23:30,Yes,https://drive.google.com/open?id=1aPc-prglji5b8MPUPayfa02ozltNpcPv,hschindele,iOS,Elnakka,True,Trail,The Pillow Pass,Time trial,15.85,Trail
44,228,2020-12-19 17:20:00,Yes,https://drive.google.com/open?id=1cmGy1CP1PabARs63Uvpvb9gke3RN-Ahf,hschindele,iOS,Elnakka,True,Race,The Elements,Time trial,26.28,Race
45,2967,9/19/2021 8:43:42,Yes,https://drive.google.com/open?id=1KBtSA3Fh7jfwNgN2jl5opTr8KBCV14ny,Avel,iOS,Elnakka,,Race,Swivel Loop,Time trial,10.9,Race
46,2796,2021-06-21 9:35:17,Yes,https://drive.google.com/open?id=1J_G-B211Jx_bnKTxtH2IDUtghsf8doRi,hschindele,iOS,Elnakka,True,Race,Pristine Rush,Time trial,22.12,Race
47,2909,2021-07-14 9:49:52,Yes,https://drive.google.com/open?id=1yYN4DVq3AqIGBzteFfthi_b4MKIILZov,Jamiemac,Android,Elnakka,True,Trail,High Jump,Time trial,8.1,Trail
48,2798,2021-06-21 9:38:50,Yes,https://drive.google.com/open?id=1YjkRN1hCiwc48HtN2l-wR7nP1MQ1iShV,hschindele,iOS,Elnakka,True,Trail,Around Clover Falls,Time trial,16.72,Trail
49,1301,2021-02-18 19:44:46,Yes,https://drive.google.com/open?id=1our76mvUTfEupTeMzv71lvsgXSxgSQQo,BouncyJello,Android,Elnakka,True,Distance,Boulder Hill Escape,High score,306.6,Distance
50,1300,2021-02-18 19:40:01,Yes,https://drive.google.com/open?id=17MisneTIHobonS_87bQ0x781uofhDYwu,BouncyJello,Android,Elnakka,True,Slap,Bear Cub Run,High score,16.0,Slap
51,3124,2020-04-23 12:33:51,Yes,https://drive.google.com/open?id=1q4Hg129k7RB5eNRB8agltJe4-Ccw0Xih,Lars Schrier,iOS,Elnakka,True,Slap,The Pist Bully,High score,31.0,Slap
52,3252,9/20/2021 13:46:24,Yes,https://drive.google.com/open?id=1UMA0b1tIPLIKGKesvtJ08KRgBl9I93xl,Avel,iOS,Elnakka,True,,XL Park World,High score,65833.0,Gated Trick
53,3256,9/20/2021 13:55:02,Yes,https://drive.google.com/open?id=154Enzzm2fo4eQ5etGPf5m-wHsHmqMttP,Avel,iOS,Elnakka,True,,Elnakka Freedom,High score,425.0,Open Trick
54,3259,9/21/2021 7:35:10,Yes,https://drive.google.com/open?id=1tgU-rjWteipTimtifCi7SOviFm_U3euL,hschindele,iOS,Elnakka,True,,The Yards,High score,42.3,Long Jump
55,2490,2021-04-26 14:33:40,Yes,https://drive.google.com/open?id=1H23fq0IYivvZTr1n1GShhdDPb7qVUEQu,BouncyJello,Android,Dalarna,True,Race,Malung Scooter Club,Time trial,29.42,Race
